Id,WidgetID,Category,Sort,Name,Desc,Icon,Discount,Limited,Online,New,Hot,Gold,Coin,Currency
110101001,1060560271,1,1,缘分纸条,"可将你想说的话折成纸条放入云中在世界飘荡,等待有缘人捡到。你的名字不会出现在纸条中",prop/icon/1060560271.png,100,0,1,1,1,0,10,2
110101002,1100116190,1,1,登天塔（一级）,使用后增加目标对白1点顶贴值,prop/icon/1100116190.png,100,0,1,1,1,0,10,2
110101003,1100217651,1,1,登天塔（二级）,使用后增加目标对白2点顶贴值,prop/icon/1100217651.png,100,0,1,1,1,0,20,2
110101004,1100310281,1,1,登天塔（三级）,使用后增加目标对白5点顶贴值,prop/icon/1100310281.png,100,0,1,1,1,0,30,2
110101005,1100410368,1,1,登天塔（四级）,使用后增加目标对白10点顶贴值,prop/icon/1100410368.png,100,0,1,1,1,0,40,2
110101006,1100560097,1,1,登天塔（五级）,使用后增加目标对白20点顶贴值,prop/icon/1100560097.png,100,0,1,1,1,0,50,2
110101007,1050560270,1,1,氢气球,使用后将带上你的心情与祝福飞跃游区上空,prop/icon/1050560270.png,100,0,1,1,1,0,150,2
110101008,1110116190,1,1,下天梯（一级）,使用后减少目标对白1点顶贴值,prop/icon/1110116190.png,100,0,1,1,1,0,10,2
110101009,1110217651,1,1,下天梯（二级）,使用后减少目标对白2点顶贴值,prop/icon/1110217651.png,100,0,1,1,1,0,20,2
110101010,1110310281,1,1,下天梯（三级）,使用后减少目标对白5点顶贴值,prop/icon/1110310281.png,100,0,1,1,1,0,30,2
110101011,1110410368,1,1,下天梯（四级）,使用后减少目标对白10点顶贴值,prop/icon/1110410368.png,100,0,1,1,1,0,40,2
110101012,1110560097,1,1,下天梯（五级）,使用后减少目标对白20点顶贴值,prop/icon/1110560097.png,100,0,1,1,1,0,50,2
110101013,1010100001,1,1,吸分针（一级）,吸分成功能掠夺目标40-70分,prop/icon/1010100001.png,100,0,1,1,1,0,20,2
110101014,1010200002,1,1,吸分针（二级）,吸分成功能掠夺目标50-80分,prop/icon/1010200002.png,100,0,1,1,1,0,30,2
110101015,1010300003,1,1,吸分针（三级）,吸分成功能掠夺目标60-100分,prop/icon/1010300003.png,100,0,1,1,1,0,60,2
110101016,1010400004,1,1,吸分针（四级）,吸分成功能掠夺目标100-150分,prop/icon/1010400004.png,100,0,1,1,1,5,0,1
110101017,1010500005,1,1,吸分针（五级）,吸分成功能掠夺目标150-250分,prop/icon/1010500005.png,100,0,1,1,1,10,0,1
110101018,1020100001,1,1,护体盾（一级）,"50%几率防御同级吸分针，吸分针等级每高于护体盾一级防御概率降低10%,反之增加10%，持续时间2小时",prop/icon/1020100001.png,100,0,1,1,1,0,20,2
110101019,1020200002,1,1,护体盾（二级）,"50%几率防御同级吸分针，吸分针等级每高于护体盾一级防御概率降低10%,反之增加10%，持续时间3小时",prop/icon/1020200002.png,100,0,1,1,1,0,40,2
110101020,1020300003,1,1,护体盾（三级）,"50%几率防御同级吸分针，吸分针等级每高于护体盾一级防御概率降低10%,反之增加10%，持续时间4小时",prop/icon/1020300003.png,100,0,1,1,1,0,120,2
110101021,1020400004,1,1,护体盾（四级）,"50%几率防御同级吸分针，吸分针等级每高于护体盾一级防御概率降低10%,反之增加10%，持续时间8小时",prop/icon/1020400004.png,100,0,1,1,1,5,0,1
110101022,1020500005,1,1,护体盾（五级）,"50%几率防御同级吸分针，吸分针等级每高于护体盾一级防御概率降低10%,反之增加10%，持续时间12小时",prop/icon/1020500005.png,100,0,1,1,1,10,0,1
110101023,1050160001,1,1,烟花,烟花,prop/icon/1050160001.png,100,0,1,1,1,0,10,2
110101024,1050560271,1,1,氢气球,使用后将带上你的心情与祝福飞跃游区上空,prop/icon/1050560271.png,100,0,1,1,1,0,200,2
